ts,kw
2022-04-23 18:00:00,312.4507122951685
2022-04-23 18:15:00,302.9260354824322
2022-04-23 18:30:00,314.7153280715104
2022-04-23 18:45:00,327.84544784612035
2022-04-23 19:00:00,293.72312802607433
2022-04-23 19:15:00,293.7233742926867
2022-04-23 19:30:00,320.9236208795353
2022-04-23 19:45:00,308.74694958421804
2022-04-23 20:00:00,282.9578842109757
2022-04-23 20:15:00,298.13840065378946
2022-04-23 20:30:00,283.04873460781306
2022-04-23 20:45:00,283.0140536964461
2022-04-23 21:00:00,267.4162306378941
2022-04-23 21:15:00,235.0875928945366
2022-04-23 21:30:00,237.91302907670809
2022-04-23 21:45:00,255.35248362578898
2022-04-23 22:00:00,243.8267710814505
2022-04-23 22:15:00,263.73294787539595
2022-04-23 22:30:00,245.39887675364866
2022-04-23 22:45:00,237.83468236643748
2022-04-23 23:00:00,278.0069567451513
2022-04-23 23:15:00,252.63558070402993
2022-04-23 23:30:00,257.0351482816468
2022-04-23 23:45:00,234.6510024181261
2022-04-24 00:00:00,246.83425913212227
2022-04-24 00:15:00,256.663838845648
2022-04-24 00:30:00,237.73509633866547
2022-04-24 00:45:00,260.63547027518507
2022-04-24 01:00:00,247.0126448625459
2022-04-24 01:15:00,251.6468189644288
2022-04-24 01:30:00,246.996626027887
2022-04-24 01:45:00,283.806397978962
2022-04-24 02:00:00,258.81677951539785
2022-04-24 02:15:00,243.15357395212834
2022-04-24 02:30:00,271.3574115680147
2022-04-24 02:45:00,240.70658313690151
2022-04-24 03:00:00,266.9197504894749
2022-04-24 03:15:00,234.39174470620694
2022-04-24 03:30:00,243.8640058309271
2022-04-24 03:45:00,266.7397151024404
2022-04-24 04:00:00,281.07699869993115
2022-04-24 04:15:00,272.57052421784954
2022-04-24 04:30:00,268.2652757641764
2022-04-24 04:45:00,265.48344456616064
2022-04-24 05:00:00,255.05759879141297
2022-04-24 05:15:00,266.43776552100377
2022-04-24 05:30:00,270.32584708252756
2022-04-24 05:45:00,293.09226204020814
2022-04-24 06:00:00,290.15427434352694
2022-04-24 06:15:00,258.55439766955897
2022-04-24 06:30:00,289.86125954092194
2022-04-24 06:45:00,279.22376579375526
2022-04-24 07:00:00,282.6107413484862
2022-04-24 07:15:00,301.9397156856886
